season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
2016,21-05-17,1869,Spanish Primera Division,Málaga,Real Madrid,73.56,93.56,0.1447,0.6887,0.1665,1.25,2.38,0,100,0,2,1.31,2.65,1.54,1.79,0,2.1
2016,03-06-17,1818,UEFA Champions League,Juventus,Real Madrid,85.87,93.76,0.4425,0.5575,0,1.24,1.83,,,1,4,0.43,2.08,1.19,1.87,1.05,3.68
2017,20-08-17,1869,Spanish Primera Division,Deportivo La Coruña,Real Madrid,66.05,93.23,0.1365,0.6928,0.1708,1.07,2.57,26.3,64.7,0,3,1.54,2.35,1.11,2.49,0,3.15
2017,27-08-17,1869,Spanish Primera Division,Real Madrid,Valencia,93.51,71.1,0.8517,0.0462,0.102,3.11,0.64,74.7,45.7,2,2,3.91,0.84,2.73,0.99,2.1,2.1
2017,09-09-17,1869,Spanish Primera Division,Real Madrid,Levante,93.03,58.59,0.9199,0.0168,0.0633,3.4,0.35,67.8,37.7,1,1,3.01,0.75,2.88,0.42,1.05,0.84
2017,13-09-17,1818,UEFA Champions League,Real Madrid,Apoel Nicosia,92.47,53.83,0.9267,0.0032,0.0701,2.78,0.2,,,3,0,4.51,0.19,2.53,0.26,3.15,0
2017,17-09-17,1869,Spanish Primera Division,Real Sociedad,Real Madrid,77.89,92.73,0.2417,0.5572,0.2011,1.51,2.33,63.5,58.5,1,3,0.56,2.54,1.08,1.47,1.05,3.15
2017,20-09-17,1869,Spanish Primera Division,Real Madrid,Real Betis,93.07,67.25,0.8715,0.0364,0.0921,3.16,0.55,,,0,1,3.59,0.98,4.17,0.42,0,1.05
2017,23-09-17,1869,Spanish Primera Division,Alavés,Real Madrid,64.9,92.62,0.1395,0.6779,0.1827,0.99,2.38,40.6,49.5,1,2,0.69,3.2,0.38,2.72,1.05,2.1
2017,26-09-17,1818,UEFA Champions League,Borussia Dortmund,Real Madrid,89.81,92.8,0.4263,0.3522,0.2215,1.95,1.76,,,1,3,1.22,3.4,1.58,1.8,1.05,2.93
2017,01-10-17,1869,Spanish Primera Division,Real Madrid,Espanyol,93.31,68.11,0.8683,0.035,0.0966,3.01,0.49,39.8,22.2,2,0,3.44,0.36,2.99,0.28,2.09,0
2017,14-10-17,1869,Spanish Primera Division,Getafe,Real Madrid,65.45,93.48,0.1293,0.7025,0.1682,1.03,2.58,19.9,54,1,2,0.88,2.33,0.7,1.46,1.05,2.1
2017,17-10-17,1818,UEFA Champions League,Real Madrid,Tottenham Hotspur,93.39,83.22,0.6679,0.1395,0.1926,2.24,0.92,40.1,40.1,1,1,3.41,0.95,2.36,1.1,1.05,1.05
2017,22-10-17,1869,Spanish Primera Division,Real Madrid,Eibar,93.27,65.45,0.8846,0.0272,0.0882,3.03,0.41,48.7,24.5,3,0,1.63,0.41,1.94,0.72,2.85,0
2017,29-10-17,1869,Spanish Primera Division,Girona FC,Real Madrid,61.44,93.24,0.1101,0.7334,0.1565,0.96,2.68,34.7,63,2,1,2.14,2.01,0.89,2.9,2.1,1.05
2017,01-11-17,1818,UEFA Champions League,Tottenham Hotspur,Real Madrid,84.34,92.44,0.3496,0.4061,0.2443,1.49,1.62,52.2,52.2,3,1,2.28,2.86,1.24,1.84,3.15,1.05
2017,05-11-17,1869,Spanish Primera Division,Real Madrid,Las Palmas,92.14,57.6,0.9154,0.0219,0.0626,3.66,0.51,43.9,51.1,3,0,2.76,0.11,2.25,1,3.06,0
2017,18-11-17,1869,Spanish Primera Division,Atletico Madrid,Real Madrid,81.72,92.15,0.3057,0.4423,0.252,1.28,1.59,67,40.9,0,0,0.72,1.5,0.39,1.98,0,0
2017,21-11-17,1818,UEFA Champions League,Apoel Nicosia,Real Madrid,53.98,92.41,0.0851,0.7304,0.1845,0.56,2.11,18.9,18.9,0,6,0.41,3.79,0.67,2.47,0,6.3
2017,25-11-17,1869,Spanish Primera Division,Real Madrid,Málaga,93.49,62.81,0.9038,0.0224,0.0739,3.28,0.41,43.9,37.9,3,2,3.35,0.64,1.83,0.79,3.15,2.1
2017,02-12-17,1869,Spanish Primera Division,Athletic Bilbao,Real Madrid,71.44,92.86,0.181,0.6278,0.1913,1.22,2.39,13.5,39.6,0,0,1.18,1.57,1.29,2.57,0,0
2017,06-12-17,1818,UEFA Champions League,Real Madrid,Borussia Dortmund,92.78,82.51,0.7247,0.123,0.1523,2.88,1.15,5.5,5.5,3,2,3.02,2.21,3.19,1.49,3.15,2.1
2017,09-12-17,1869,Spanish Primera Division,Real Madrid,Sevilla FC,92.64,75.63,0.7963,0.0737,0.13,2.87,0.79,40.6,66.6,5,0,3.77,0.42,2.67,1.01,5.25,0
